sci_name,presence,origin,seasonal,lon,lat,redlistCategory
Pareuchiloglanis myzostoma,1,1,1,99.39597033,26.21779922,VU
Pareuchiloglanis myzostoma,1,1,1,99.39739033,25.66093161,VU
Pareuchiloglanis myzostoma,1,1,1,99.39959065,25.71050285,VU
Pareuchiloglanis myzostoma,1,1,1,99.40048023,25.68568598,VU
Pareuchiloglanis myzostoma,1,1,1,99.40690857,26.41933965,VU
Pareuchiloglanis myzostoma,1,1,1,99.40769001,25.69373004,VU
Pareuchiloglanis myzostoma,1,1,1,99.40871998,25.70332032,VU
Pareuchiloglanis myzostoma,1,1,1,99.41451035,26.03192543,VU
Pareuchiloglanis myzostoma,1,1,1,99.41854266,26.44647236,VU
Pareuchiloglanis myzostoma,1,1,1,99.42661074,26.49579858,VU
Pareuchiloglanis myzostoma,1,1,1,99.43101513,26.52763438,VU
Pareuchiloglanis myzostoma,1,1,1,99.43273175,26.55189883,VU
Pareuchiloglanis myzostoma,1,1,1,99.43586446,26.04773589,VU
Pareuchiloglanis myzostoma,1,1,1,99.43613968,26.10963977,VU
Pareuchiloglanis myzostoma,1,1,1,99.43682633,26.08250729,VU
Pareuchiloglanis myzostoma,1,1,1,99.43716906,26.20455438,VU
Pareuchiloglanis myzostoma,1,1,1,99.43753827,26.57370174,VU
Pareuchiloglanis myzostoma,1,1,1,99.43854235,26.17128161,VU
Pareuchiloglanis myzostoma,1,1,1,99.44197617,26.06153698,VU
Pareuchiloglanis myzostoma,1,1,1,99.44197617,26.13676596,VU
Pareuchiloglanis myzostoma,1,1,1,99.44886792,26.59396551,VU
Pareuchiloglanis myzostoma,1,1,1,99.46294415,26.60839358,VU
Pareuchiloglanis myzostoma,1,1,1,99.47839367,26.6150933,VU
Prietella phreatophila,1,1,1,-101.53,27.865,VU
Prietella phreatophila,1,1,1,-101.48,27.81111111,VU
Prietella phreatophila,1,1,1,-101.38,27.80583333,VU
Prietella phreatophila,1,1,1,-100.89,28.41833333,VU
Scleronema operculatum,1,1,1,-55.12944412,-29.54055595,NT
Scleronema operculatum,1,1,1,-54.84999847,-29.63333321,NT
Scleronema operculatum,1,1,1,-54.67194366,-29.47166634,NT
Scleronema operculatum,1,1,1,-54.36333333,-30.69111111,NT
Scleronema operculatum,1,1,1,-54.835721,-29.904987,NT
Scleronema operculatum,6,1,1,-57.81,-28.85,NT
Garcialebias charrua,1,1,1,-53.48333359,-33.70000076,NT
Garcialebias charrua,1,1,1,-53.44166667,-33.68972222,NT
Garcialebias charrua,1,1,1,-53.16277778,-32.69666667,NT
Garcialebias charrua,1,1,1,-52.64333333,-32.74138889,NT
Garcialebias charrua,1,1,1,-54.398834,-33.22167,NT
Garcialebias charrua,1,1,1,-54.301,-33.454666,NT
Garcialebias charrua,1,1,1,-54.3,-33.613667,NT
Garcialebias charrua,1,1,1,-53.9,-32.916668,NT
Garcialebias charrua,1,1,1,-53.5435,-33.920166,NT
Garcialebias charrua,1,1,1,-54.916786,-34.813013,NT
Garcialebias charrua,1,1,1,-54.575587,-33.799506,NT
Garcialebias charrua,1,1,1,-54.571467,-33.801117,NT
Garcialebias charrua,1,1,1,-54.549722,-33.204167,NT
Garcialebias charrua,1,1,1,-54.5127,-33.574233,NT
Garcialebias charrua,1,1,1,-54.501181,-33.572874,NT
Garcialebias charrua,1,1,1,-54.483175,-33.883389,NT
Garcialebias charrua,1,1,1,-54.472661,-33.663903,NT
Garcialebias charrua,1,1,1,-54.4149,-33.8741,NT
Garcialebias charrua,1,1,1,-54.39571,-33.224806,NT
Garcialebias charrua,1,1,1,-54.3373,-33.304133,NT
Garcialebias charrua,1,1,1,-54.112728,-34.053396,NT
Garcialebias charrua,1,1,1,-54.101834,-33.597497,NT
Garcialebias charrua,1,1,1,-53.929269,-33.239995,NT
Garcialebias charrua,1,1,1,-53.901835,-33.861071,NT
Garcialebias charrua,1,1,1,-53.884646,-33.143305,NT
Garcialebias charrua,1,1,1,-53.865762,-33.446664,NT
Garcialebias charrua,1,1,1,-53.864172,-34.056148,NT
Garcialebias charrua,1,1,1,-53.854945,-34.061449,NT
Garcialebias charrua,1,1,1,-53.8382,-34.12584,NT
Garcialebias charrua,1,1,1,-53.828952,-34.039573,NT
Garcialebias charrua,1,1,1,-53.821102,-34.028216,NT
Garcialebias charrua,1,1,1,-53.800543,-33.256394,NT
Garcialebias charrua,1,1,1,-53.776682,-34.206109,NT
Garcialebias charrua,1,1,1,-53.774485,-34.197026,NT
Garcialebias charrua,1,1,1,-53.774286,-34.205394,NT
Garcialebias charrua,1,1,1,-53.773464,-33.251939,NT
Garcialebias charrua,1,1,1,-53.769908,-34.200627,NT
Garcialebias charrua,1,1,1,-53.746405,-34.073652,NT
Garcialebias charrua,1,1,1,-53.742145,-33.906392,NT
Garcialebias charrua,1,1,1,-53.723553,-33.601803,NT
Garcialebias charrua,1,1,1,-53.720229,-33.906355,NT
Garcialebias charrua,1,1,1,-53.699413,-33.904703,NT
Garcialebias charrua,1,1,1,-53.644187,-33.974314,NT
Garcialebias charrua,1,1,1,-53.599289,-34.017419,NT
Garcialebias charrua,1,1,1,-53.585891,-34.005554,NT
Garcialebias charrua,1,1,1,-53.576737,-33.661461,NT
Garcialebias charrua,1,1,1,-53.542033,-33.920421,NT
Garcialebias charrua,1,1,1,-53.527191,-33.770976,NT
Garcialebias charrua,1,1,1,-53.52406,-33.892893,NT
Garcialebias charrua,1,1,1,-53.5239,-33.689739,NT
Garcialebias charrua,1,1,1,-53.515565,-33.896259,NT
Garcialebias charrua,1,1,1,-53.515498,-33.896292,NT
Garcialebias charrua,1,1,1,-53.504661,-33.804205,NT
Garcialebias charrua,1,1,1,-53.472466,-33.734082,NT
Garcialebias charrua,1,1,1,-53.471621,-33.748141,NT
Garcialebias charrua,1,1,1,-53.458964,-33.706468,NT
Garcialebias charrua,1,1,1,-53.421436,-33.753468,NT
Garcialebias charrua,1,1,1,-53.40362,-33.75391,NT
Garcialebias charrua,1,1,1,-53.394517,-33.754408,NT
Brycon orbignyanus,1,1,1,-54.013332,-23.86111,EN
Brycon orbignyanus,1,1,1,-50.013332,-23.86111,EN
Brycon orbignyanus,1,1,1,-54.2405556,-24.3833333,EN
Brycon orbignyanus,1,1,1,-58.1,-34.166668,EN
Brycon orbignyanus,1,1,1,-51.783333,-21.049999,EN
Brycon orbignyanus,1,1,1,-47.42,-21.97,EN
Brycon orbignyanus,1,1,1,-47.366665,-21.916666,EN
Brycon orbignyanus,1,1,1,-54.5863889,-25.5469444,EN
Brycon orbignyanus,1,1,1,-53.5619444,-22.8352778,EN
Brycon orbignyanus,1,1,1,-53.2669444,-22.7719444,EN
Brycon orbignyanus,1,1,1,-54.25,-24.066668,EN
Brycon orbignyanus,1,1,1,-53.783333,-23.35,EN
Brycon orbignyanus,1,1,1,-51.515465,-20.650605,EN
Brycon orbignyanus,1,1,1,-51.633335,-20.783333,EN
Brycon orbignyanus,1,1,1,-54.25583333,-24.08,EN
Brycon orbignyanus,1,1,1,-53.5525,-22.8258333,EN
Brycon orbignyanus,1,1,1,-53.9019444,-23.8738889,EN
Brycon orbignyanus,1,1,1,-53.5372222,-22.7944444,EN
Brycon orbignyanus,1,1,1,-51.35,-20.383333,EN
Brycon orbignyanus,1,1,1,-51.7063889,-20.7886111,EN
Brycon orbignyanus,1,1,1,-52.633335,-22.283333,EN
Brycon orbignyanus,1,1,1,-51.88,-23.2641667,EN
Brycon orbignyanus,1,1,1,-47.658138,-22.723555,EN
Brycon orbignyanus,1,1,1,-54.556235,-25.429241,EN
Brycon orbignyanus,1,1,1,-54.316666,-24.483334,EN
Brycon orbignyanus,1,1,1,-48.5483333,-17.7269444,EN
Brycon orbignyanus,1,1,1,-54.466667,-25.266666,EN
Brycon orbignyanus,1,1,1,-48.14,-20.0038889,EN
Brycon orbignyanus,1,1,1,-54.6333333,-25.4166667,EN
Brycon orbignyanus,1,1,1,-54.5880556,-25.5466667,EN
Brycon orbignyanus,1,1,1,-51.766666,-21.05,EN
Brycon orbignyanus,1,1,1,-47.9555556,-19.0583333,EN
Brycon orbignyanus,1,1,1,-47.7305556,-19.1291667,EN
Brycon orbignyanus,1,1,1,-47.6383333,-19.1730556,EN
Brycon orbignyanus,1,1,1,-47.1680556,-19.1780556,EN
Brycon orbignyanus,1,1,1,-51.9905556,-22.5427778,EN
Brycon orbignyanus,1,1,1,-58.433334,-34.5,EN
Brycon orbignyanus,1,1,1,-50.883335,-19.983334,EN
Brycon orbignyanus,1,1,1,-54.454167,-25.652911,EN
Brycon orbignyanus,1,1,1,-54.45416667,-25.65291111,EN
Brycon orbignyanus,1,1,1,-54.583332,-25.583334,EN
Brycon orbignyanus,1,1,1,-50.452389,-23.414722,EN
Brycon orbignyanus,1,1,1,-50.45238889,-23.41472222,EN
Brycon orbignyanus,1,1,1,-54.542232,-25.581156,EN
Brycon orbignyanus,1,1,1,-53.2833333,-22.75,EN
Brycon orbignyanus,1,1,1,-53.78333333,-23.35,EN
Brycon orbignyanus,1,1,1,-48.548332,-17.726946,EN
Brycon orbignyanus,1,1,1,-52.95262778,-22.48181667,EN
Brycon orbignyanus,1,1,1,-52.952628,-22.481817,EN
Brycon orbignyanus,1,1,1,-52.033333,-22.533333,EN
Brycon orbignyanus,1,1,1,-54.583332,-25.383333,EN
Brycon orbignyanus,1,1,1,-51.00222,-20.17944,EN
Brycon orbignyanus,1,1,1,-53.1458333,-24.0019444,EN
Brycon orbignyanus,1,1,1,-53.3127778,-24.2927778,EN
Brycon orbignyanus,1,1,1,-47.666668,-22.716667,EN
Brycon orbignyanus,1,1,1,-51.5,-20.65,EN
Brycon orbignyanus,1,1,1,-49.95,-21.216667,EN
Brycon orbignyanus,1,1,1,-51.501667,-20.673611,EN
Brycon orbignyanus,1,1,1,-51.883335,-21.183332,EN
Brycon orbignyanus,1,1,1,-52.12033333,-21.02022222,EN
Brycon orbignyanus,1,1,1,-51.883335,-21.200001,EN
Brycon orbignyanus,1,1,1,-52.146106,-21.037217,EN
Brycon orbignyanus,1,1,1,-49.950601,-21.22858,EN
Brycon orbignyanus,1,1,1,-51.162778,-23.310278,EN
Brycon orbignyanus,1,1,1,-51.16277778,-23.31027778,EN
Brycon orbignyanus,1,1,1,-54.333332,-24.116667,EN
Brycon orbignyanus,1,1,1,-51.501667,-20.67361,EN
Brycon orbignyanus,1,1,1,-47.418,-21.975,EN
Brycon orbignyanus,1,1,1,-58.393117,-34.571252,EN
Brycon orbignyanus,1,1,1,-54.45252,-25.661609,EN
Matilebias juanlangi,1,1,1,-54.138121,-31.514197,NT
Matilebias juanlangi,1,1,1,-54.139716,-31.579035,NT
Matilebias juanlangi,1,1,1,-54.155696,-31.724733,NT
Matilebias juanlangi,1,1,1,-54.138145,-31.428836,NT
Matilebias juanlangi,1,1,1,-53.460533,-32.424155,NT
Matilebias juanlangi,1,1,1,-54.237,-32.353333,NT
Matilebias juanlangi,1,1,1,-54.146667,-31.68,NT
Matilebias juanlangi,1,1,1,-53.726111,-32.124444,NT
Matilebias juanlangi,1,1,1,-53.971667,-31.580833,NT
Matilebias juanlangi,1,1,1,-54.205333,-32.3745,NT
Matilebias juanlangi,1,1,1,-54.188667,-32.374333,NT
Matilebias juanlangi,1,1,1,-54.663209,-32.112008,NT
Matilebias juanlangi,1,1,1,-53.774444,-32.015556,NT
Matilebias juanlangi,1,1,1,-53.719833,-32.765833,NT
Matilebias juanlangi,1,1,1,-55.141333,-32.092667,NT
Matilebias juanlangi,1,1,1,-54.8045,-32.288167,NT
Matilebias juanlangi,1,1,1,-54.474833,-32.365167,NT
Matilebias juanlangi,1,1,1,-54.462667,-32.368333,NT
Matilebias juanlangi,1,1,1,-54.5345,-32.173,NT
Matilebias juanlangi,1,1,1,-54.24083333,-31.29027778,NT
Matilebias juanlangi,1,1,1,-54.15,-31.66666667,NT
Matilebias juanlangi,1,1,1,-54.13666667,-31.49111111,NT
Matilebias juanlangi,1,1,1,-54.13444444,-31.41111111,NT
Matilebias juanlangi,1,1,1,-54.03444444,-31.76194444,NT
Matilebias juanlangi,1,1,1,-53.97166667,-31.58083333,NT
Matilebias juanlangi,1,1,1,-53.77444444,-32.01555556,NT
Matilebias juanlangi,1,1,1,-53.72611111,-32.12444444,NT
Matilebias juanlangi,1,1,1,-55.141335,-32.092667,NT
Matilebias juanlangi,1,1,1,-54.8045,-32.288166,NT
Matilebias juanlangi,1,1,1,-54.666,-32.111332,NT
Matilebias juanlangi,1,1,1,-54.474834,-32.365166,NT
Matilebias juanlangi,1,1,1,-54.462666,-32.368332,NT
Matilebias juanlangi,1,1,1,-54.205334,-32.3745,NT
Matilebias juanlangi,1,1,1,-54.188667,-32.374332,NT
Matilebias juanlangi,1,1,1,-54.145836,-31.68,NT
Matilebias juanlangi,1,1,1,-54.0,-32.0,NT
Matilebias juanlangi,1,1,1,-53.719833,-32.765835,NT
Matilebias juanlangi,1,1,1,-55.43345,-32.444747,NT
Matilebias juanlangi,1,1,1,-55.228815,-32.450481,NT
Matilebias juanlangi,1,1,1,-55.024493,-32.501975,NT
Matilebias juanlangi,1,1,1,-54.93541,-32.443858,NT
Matilebias juanlangi,1,1,1,-54.82074,-32.287792,NT
Matilebias juanlangi,1,1,1,-54.680759,-32.418834,NT
Matilebias juanlangi,1,1,1,-54.666419,-32.110127,NT
Matilebias juanlangi,1,1,1,-54.665878,-32.110248,NT
Matilebias juanlangi,1,1,1,-54.650277,-31.489951,NT
Matilebias juanlangi,1,1,1,-54.627453,-32.303494,NT
Matilebias juanlangi,1,1,1,-54.619587,-31.646958,NT
Matilebias juanlangi,1,1,1,-54.585276,-32.496087,NT
Matilebias juanlangi,1,1,1,-54.5613,-31.982918,NT
Matilebias juanlangi,1,1,1,-54.546657,-32.455353,NT
Matilebias juanlangi,1,1,1,-54.546451,-32.516834,NT
Matilebias juanlangi,1,1,1,-54.538197,-32.184532,NT
Matilebias juanlangi,1,1,1,-54.533274,-32.512491,NT
Matilebias juanlangi,1,1,1,-54.530874,-32.519993,NT
Matilebias juanlangi,1,1,1,-54.527045,-32.492622,NT
Matilebias juanlangi,1,1,1,-54.409668,-32.438277,NT
Matilebias juanlangi,1,1,1,-54.408283,-31.7308,NT
Matilebias juanlangi,1,1,1,-54.341426,-31.804781,NT
Matilebias juanlangi,1,1,1,-54.283488,-32.43529,NT
